Iterations;XslTransform;Schematron;MSXML
2060;119461.7776;33317.9088;65524.2192
2070;2080;119501.8352;33137.6496;66014.9248
2090;119842.3248;33227.7792;66245.256
2100;2110;121264.3696;33758.5424;67086.4656
2120;122766.5296;34119.0608;67907.6464
2130;122896.7168;34219.2048;68358.2944
2140;123737.9264;34820.0688;68588.6256
2150;124679.28;34669.8528;69469.8928
2160;126021.2096;34920.2128;69810.3824
2170;126652.1168;35140.5296;70321.1168
2180;127222.9376;35220.6448;70281.0592
2190;127974.0176;41189.2272;86874.92
2200;2210;136175.8112;34329.3632;68448.424
2220;124088.4304;34349.392;68668.7408
2230;125991.1664;35691.3216;72223.8528
2240;130167.1712;36161.9984;72404.112
2250;131008.3808;36151.984;71853.32
2260;131168.6112;36352.272;72554.328
2270;130768.0352;35881.5952;71773.2048
2280;130137.128;36192.0416;72203.824
2290;131238.712;36612.6464;72844.7456
2300;132570.6272;36782.8912;73455.624
2310;133141.448;37003.208;73535.7392
2320;134122.8592;37203.496;73996.4016
2330;134713.7088;37393.7696;74477.0928
2340;135214.4288;37433.8272;74427.0208
2350;136536.3296;37734.2592;75138.0432
2360;136436.1856;37814.3744;75448.4896
2370;136606.4304;38064.7344;75478.5328
2380;137367.5248;38084.7632;75929.1808
2390;138088.5616;38585.4832;76219.5984
2400;138198.72;38375.1808;76500.0016
2410;139240.2176;38585.4832;76830.4768
2420;139821.0528;38685.6272;77221.0384
2430;140041.3696;38835.8432;77271.1104
2440;140341.8016;39106.232;77641.6432
2450;140381.8592;39106.232;77841.9312
2460;141413.3424;39436.7072;79273.9904
2470;142294.6096;39616.9664;79133.7888
2480;2490;143886.8992;40007.528;79344.0912
2500;144437.6912;40197.8016;79784.7248
2510;146290.3552;40378.0608;80415.632
2520;145869.7504;40327.9888;80405.6176
2530;145278.9008;39967.4704;79934.9408
2540;144878.3248;40237.8592;80025.0704
2550;145369.0304;40247.8736;80025.0704
2560;145308.944;40247.8736;80465.704
2570;153931.3424;68458.4384;172027.3632
2580;312299.064;94165.4032;189622.664
2590;273943.912;91802.0048;182903.0016
2600;329293.5008;91761.9472;195240.7424
2610;275456.0864;42961.776;86274.056
2620;155223.2;43232.1648;86073.768
2630;155854.1072;43452.4816;86173.912
2640;157496.4688;43422.4384;86484.3584
2650;155824.064;43312.28;86684.6464
2660;157456.4112;43412.424;86664.6176
2670;157656.6992;43482.5248;86764.7616
2680;158147.4048;43612.712;86945.0208
2690;158167.4336;43692.8272;87195.3808
2700;159148.8448;44183.5328;87826.288
2710;159559.4352;44143.4752;87956.4752
2720;160500.7888;44503.9936;88427.152
2730;160771.1776;44544.0512;88887.8144
2740;160911.3792;44383.8208;89058.0592
2750;161622.4016;44834.4688;89128.16
2760;162063.0352;44944.6272;89558.7792
2770;168802.7264;45615.592;91151.0688
2780;191124.824;44924.5984;89268.3616
2790;162734;44994.6992;89588.8224
2800;162824.1296;45154.9296;89999.4128
2810;163565.1952;45215.016;89909.2832
2820;163705.3968;45365.232;90650.3488
2830;163845.5984;45455.3616;90720.4496
2840;164426.4336;45685.6928;91000.8528
2850;164937.168;45775.8224;91161.0832
2860;165988.68;46036.1968;91591.7024
2870;166689.688;46156.3696;91882.12
2880;167060.2208;46356.6576;92152.5088
2890;167781.2576;46516.888;92533.056
2900;168171.8192;46677.1184;92843.5024
2910;168602.4384;46757.2336;97189.752
2920;169764.1088;47037.6368;93844.9424
2930;170234.7856;47027.6224;94235.504
2940;170475.1312;47468.256;94636.08
2950;170695.448;47518.328;94565.9792
2960;2970;171706.9024;47908.8896;95156.8288
2980;172367.8528;47918.904;95387.16
2990;173098.904;48179.2784;95857.8368
3000;173209.0624;48299.4512;96068.1392
